field,band,peak,snr_value
SPLUS-s36s11.fits,r,18.563921,50
SPLUS-s36s11.fits,u,20.620829,3
SPLUS-s36s11.fits,u,20.618153,5
SPLUS-s36s11.fits,u,18.562542,10
SPLUS-s36s11.fits,u,17.43847,50
SPLUS-s36s11.fits,z,20.447342,3
SPLUS-s36s11.fits,z,19.692219,5
SPLUS-s36s11.fits,z,18.855545,10
SPLUS-s36s11.fits,z,17.080797,50
SPLUS-s36s11.fits,g,21.62078,3
SPLUS-s36s11.fits,g,20.726133,5
SPLUS-s36s11.fits,g,19.6693,10
SPLUS-s36s11.fits,g,18.49253,50
SPLUS-n18s14.fits,J0378,20.76595,3
SPLUS-n18s14.fits,J0378,19.852962,5
SPLUS-n18s14.fits,J0378,18.760456,10
SPLUS-n18s14.fits,J0378,16.75613,50
SPLUS-n18s14.fits,J0395,20.438318,3
SPLUS-n18s14.fits,J0395,19.558601,5
SPLUS-n18s14.fits,J0395,18.018684,10
SPLUS-n18s14.fits,J0395,16.45927,50
SPLUS-n18s14.fits,J0410,20.676325,3
SPLUS-n18s14.fits,J0410,19.905542,5
SPLUS-n18s14.fits,J0410,19.039658,10
SPLUS-n18s14.fits,J0410,16.767456,50
SPLUS-n18s14.fits,J0430,20.558361,3
SPLUS-n18s14.fits,J0430,19.871872,5
SPLUS-n18s14.fits,J0430,18.154238,10
SPLUS-n18s14.fits,J0430,17.276049,50
SPLUS-n18s14.fits,J0515,20.788006,3
SPLUS-n18s14.fits,J0515,19.926107,5
SPLUS-n18s14.fits,J0515,18.782345,10
SPLUS-n18s14.fits,J0515,17.477226,50
SPLUS-n18s14.fits,J0660,21.37443,3
SPLUS-n18s14.fits,J0660,20.488792,5
SPLUS-n18s14.fits,J0660,19.458145,10
SPLUS-n18s14.fits,J0660,17.906841,50
SPLUS-n18s14.fits,J0861,19.880524,3
SPLUS-n18s14.fits,J0861,19.20307,5
SPLUS-n18s14.fits,J0861,18.1446,10
SPLUS-n18s14.fits,J0861,16.739899,50
SPLUS-n18s14.fits,i,20.874905,3
SPLUS-n18s14.fits,i,20.174307,5
SPLUS-n18s14.fits,i,19.375126,10
SPLUS-n18s14.fits,i,17.827452,50
SPLUS-n18s14.fits,r,21.263813,3
SPLUS-n18s14.fits,r,20.359043,5
SPLUS-n18s14.fits,r,19.645134,10
SPLUS-n18s14.fits,r,17.906006,50
SPLUS-n18s14.fits,u,20.954163,3
SPLUS-n18s14.fits,u,19.288132,5
SPLUS-n18s14.fits,u,19.288479,10
SPLUS-n18s14.fits,u,17.027613,50
SPLUS-n18s14.fits,z,19.944725,3
SPLUS-n18s14.fits,z,19.304253,5
SPLUS-n18s14.fits,z,18.299723,10
SPLUS-n18s14.fits,z,16.986296,50
SPLUS-n18s14.fits,g,21.678352,3
SPLUS-n18s14.fits,g,20.859726,5
SPLUS-n18s14.fits,g,19.761631,10
SPLUS-n18s14.fits,g,18.28585,50
SPLUS-n12s14.fits,J0378,19.847698,3
SPLUS-n12s14.fits,J0378,18.782913,5
SPLUS-n12s14.fits,J0378,18.01104,10
SPLUS-n12s14.fits,J0378,16.178387,50
SPLUS-n12s14.fits,J0395,19.459038,3
SPLUS-n12s14.fits,J0395,18.826502,5
SPLUS-n12s14.fits,J0395,17.729431,10
SPLUS-n12s14.fits,J0395,16.17838,50
SPLUS-n12s14.fits,J0410,19.147825,3
SPLUS-n12s14.fits,J0410,18.831028,5
SPLUS-n12s14.fits,J0410,17.351593,10
SPLUS-n12s14.fits,J0410,16.164825,50
SPLUS-n12s14.fits,J0430,19.549314,3
SPLUS-n12s14.fits,J0430,18.995388,5
SPLUS-n12s14.fits,J0430,17.838268,10
SPLUS-n12s14.fits,J0430,16.164482,50
SPLUS-n12s14.fits,J0515,19.84512,3
SPLUS-n12s14.fits,J0515,18.944334,5
SPLUS-n12s14.fits,J0515,18.572865,10
SPLUS-n12s14.fits,J0515,16.316483,50
SPLUS-n12s14.fits,J0660,20.613083,3
SPLUS-n12s14.fits,J0660,20.042599,5
SPLUS-n12s14.fits,J0660,19.227814,10
SPLUS-n12s14.fits,J0660,17.71631,50
SPLUS-n12s14.fits,J0861,19.603434,3
SPLUS-n12s14.fits,J0861,18.955492,5
SPLUS-n12s14.fits,J0861,17.627754,10
SPLUS-n12s14.fits,J0861,16.771793,50
SPLUS-n12s14.fits,i,20.803574,3
SPLUS-n12s14.fits,i,19.878757,5
SPLUS-n12s14.fits,i,19.198122,10
SPLUS-n12s14.fits,i,17.560215,50
SPLUS-n12s14.fits,r,20.883192,3
